Sport,Team,Conference,Division
NCAA Football,houston-cougars-football,AAC,West
NCAA Football,navy-midshipmen-football,AAC,West
NCAA Football,ucf-knights-football,AAC,East
NCAA Football,boston-college-eagles-football,ACC,Atlantic
NCAA Football,clemson-tigers-football,ACC,Atlantic
NCAA Football,duke-blue-devils-football,ACC,Coastal
NCAA Football,florida-state-seminoles-football,ACC,Atlantic
NCAA Football,georgia-tech-yellow-jackets-football,ACC,Coastal
NCAA Football,louisville-cardinals-football,ACC,Atlantic
NCAA Football,miami-hurricanes-football,ACC,Coastal
NCAA Football,north-carolina-tar-heels-football,ACC,Coastal
NCAA Football,north-carolina-state-wolfpack-football,ACC,Atlantic
NCAA Football,pittsburgh-panthers-football,ACC,Coastal
NCAA Football,syracuse-orange-football,ACC,Atlantic
NCAA Football,virginia-cavaliers-football,ACC,Coastal
NCAA Football,virginia-tech-hokies-football,ACC,Coastal
NCAA Football,wake-forest-demon-deacons-football,ACC,Atlantic
NCAA Football,baylor-bears-football,BIG12,
NCAA Football,iowa-state-cyclones-football,BIG12,
NCAA Football,kansas-jayhawks-football,BIG12,
NCAA Football,kansas-state-wildcats-football,BIG12,
NCAA Football,oklahoma-sooners-football,BIG12,
NCAA Football,oklahoma-state-cowboys-football,BIG12,
NCAA Football,tcu-horned-frogs-football,BIG12,
NCAA Football,texas-longhorns-football,BIG12,
NCAA Football,texas-tech-red-raiders-football,BIG12,
NCAA Football,west-virginia-mountaineers-football,BIG12,
NCAA Football,illinois-fighting-illini-football,BIG10,West
NCAA Football,indiana-hoosiers-football,BIG10,East
NCAA Football,iowa-hawkeyes-football,BIG10,West
NCAA Football,maryland-terrapins-football,BIG10,East
NCAA Football,michigan-wolverines-football,BIG10,East
NCAA Football,michigan-state-spartans-football,BIG10,East
NCAA Football,minnesota-golden-gophers-football,BIG10,West
NCAA Football,nebraska-cornhuskers-football,BIG10,West
NCAA Football,northwestern-wildcats-football,BIG10,West
NCAA Football,ohio-state-buckeyes-football,BIG10,East
NCAA Football,penn-state-nittany-lions-football,BIG10,East
NCAA Football,purdue-boilermakers-football,BIG10,West
NCAA Football,rutgers-scarlet-knights-football,BIG10,East
NCAA Football,wisconsin-badgers-football,BIG10,West
NCAA Football,army-black-knights-football,Independent,
NCAA Football,byu-cougars-football,Independent,
NCAA Football,notre-dame-fighting-irish-football,Independent,
NCAA Football,boise-state-broncos-football,Mountain West,East
NCAA Football,san-diego-state-aztecs-football,Mountain West,West
NCAA Football,wyoming-cowboys-football,Mountain West,Mountain
NCAA Football,arizona-wildcats-football,PAC12,South
NCAA Football,arizona-state-sun-devils-football,PAC12,South
NCAA Football,california-golden-bears-football,PAC12,North
NCAA Football,colorado-buffaloes-football,PAC12,South
NCAA Football,oregon-ducks-football,PAC12,North
NCAA Football,oregon-state-beavers-football,PAC12,North
NCAA Football,stanford-cardinal-football,PAC12,North
NCAA Football,ucla-bruins-football,PAC12,South
NCAA Football,usc-trojans-football,PAC12,South
NCAA Football,utah-utes-football,PAC12,South
NCAA Football,washington-huskies-football,PAC12,North
NCAA Football,washington-state-cougars-football,PAC12,North
NCAA Football,alabama-crimson-tide-football,SEC,West
NCAA Football,arkansas-razorbacks-football,SEC,West
NCAA Football,auburn-tigers-football,SEC,West
NCAA Football,florida-gators-football,SEC,East
NCAA Football,georgia-bulldogs-football,SEC,East
NCAA Football,kentucky-wildcats-football,SEC,East
NCAA Football,lsu-tigers-football,SEC,West
NCAA Football,mississippi-state-bulldogs-football,SEC,West
NCAA Football,missouri-tigers-football,SEC,East
NCAA Football,ole-miss-rebels-football,SEC,West
NCAA Football,south-carolina-gamecocks-football,SEC,East
NCAA Football,tennessee-volunteers-football,SEC,East
NCAA Football,texas-a-m-aggies-football,SEC,West
NCAA Football,vanderbilt-commodores-football,SEC,East